"agency","city","state","ntd_id","organization_type","reporter_type","report_year","uace_code","uza_name","primary_uza_population","agency_voms","fta_urbanized_area_formula","fta_capital_program_5309","fta_rural_progam_5311","other_fta_funds","other_dot_funds","other_federal_funds","total_federal_funds"
"King County, dba: King County Metro","Seattle","WA","00001","City, County or Local Government Unit or Department of Transportation","Full Reporter","2024","80389","Seattle--Tacoma, WA","3544011","2352","26878239","27570480","0","340124","0","800304","55589147"
"Spokane Transit Authority","Spokane","WA","00002","Independent Public Agency or Authority of Transit Service","Full Reporter","2024","83764","Spokane, WA","447279","316","15444370","978316","0","0","0","300000","16722686"
"Pierce County Transportation Benefit Area Authority, dba: Pierce Transit","Lakewood","WA","00003","Independent Public Agency or Authority of Transit Service","Full Reporter","2024","80389","Seattle--Tacoma, WA","3544011","416","12803916","100028","0","176104","0","1063719","14143767"
"Confederated Tribes of the Colville Indian Reservation","Nespelem","WA","00004","Tribe","Reduced Reporter","2024","00053","Washington Non-UZA","1895776","5","0","0","152956","0","0","959748","1112704"
"City of Everett, dba: Everett Transit","Everett","WA","00005","City, County or Local Government Unit or Department of Transportation","Full Reporter","2024","80389","Seattle--Tacoma, WA","3544011","50","1054779","0","0","0","0","0","1054779"
"City of Yakima, dba: Yakima Transit","Yakima","WA","00006","City, County or Local Government Unit or Department of Transportation","Full Reporter","2024","97507","Yakima, WA","133145","43","5641912","0","274838","0","0","0","5916750"
"Lane Transit District","Eugene","OR","00007","Independent Public Agency or Authority of Transit Service","Full Reporter","2024","28117","Eugene, OR","270179","141","14224047","3290281","286479","1564553","1160613","920632","21446605"
"Tri-County Metropolitan Transportation District of Oregon, dba: TriMet","Portland","OR","00008","Independent Public Agency or Authority of Transit Service","Full Reporter","2024","71317","Portland, OR--WA","2104238","804","136189348","56112143","0","5193899","2408330","1333931","201237651"
"Kalispel Tribe of Indians","Cusick","WA","00009","Tribe","Reduced Reporter","2024","00053","Washington Non-UZA","1895776","0","0","0","242814","0","0","0","242814"
"Klamath Tribes, dba: Quail Trail","Chiloquin","OR","00010","Tribe","Reduced Reporter","2024","00041","Oregon Non-UZA","1553447","7","0","0","472425","17088","0","0","489513"
"Municipality of Anchorage","Anchorage","AK","00012","City, County or Local Government Unit or Department of Transportation","Full Reporter","2024","02305","Anchorage, AK","249252","186","17339693","0","0","514605","1168189","0","19022487"
"Sitka Tribe of Alaska","Sitka","AK","00014","Tribe","Reduced Reporter","2024","00002","Alaska Non-UZA","359299","3","0","0","1154144","96941","10000","472843","1733928"
"Snoqualmie Indian Tribe, dba: Snoqualmie Valley Transportation","Snoqualmie","WA","00015","Tribe","Reduced Reporter","2024","00053","Washington Non-UZA","1895776","2","0","0","117001","0","0","816","117817"
"City of Longview, dba: RiverCities Transit","Longview","WA","00016","City, County or Local Government Unit or Department of Transportation","Full Reporter","2024","51283","Longview, WA--OR","69841","22","2335918","0","0","0","0","0","2335918"
"Stillaguamish Tribe of Indians, dba: Stillaguamish Tribal Transportation Services","Arlington","WA","00017","Tribe","Reduced Reporter","2024","00053","Washington Non-UZA","1895776","5","0","0","335656","0","0","0","335656"
"Ben Franklin Transit","Richland","WA","00018","Independent Public Agency or Authority of Transit Service","Full Reporter","2024","44479","Kennewick--Richland--Pasco, WA","255401","294","8362082","0","0","0","0","0","8362082"
"Intercity Transit","Olympia","WA","00019","Independent Public Agency or Authority of Transit Service","Full Reporter","2024","65242","Olympia--Lacey, WA","208157","243","10241780","0","0","2917117","0","0","13158897"
"Kitsap County Public Transportation Benefit Area Authority, dba: Kitsap Transit","Bremerton","WA","00020","Independent Public Agency or Authority of Transit Service","Full Reporter","2024","09946","Bremerton, WA","224449","213","12672582","158437","0","0","536609","0","13367628"
"Whatcom Transportation Authority","Bellingham","WA","00021","Independent Public Agency or Authority of Transit Service","Full Reporter","2024","06652","Bellingham, WA","128979","103","22547310","0","0","93804","0","0","22641114"
"City of Pocatello, dba: Pocatello Regional Transit","Pocatello","ID","00022","City, County or Local Government Unit or Department of Transportation","Reduced Reporter","2024","70426","Pocatello, ID","72211","24","1545165","0","576640","0","0","0","2121805"
