"agency","city","state","ntd_id","organization_type","reporter_type","report_year","uace_code","uza_name","primary_uza_population","agency_voms","fund_expenditure_type","fares_and_other_directly","fares_and_other_directly_1","taxes_fees_levied_by_transit","taxes_fees_levied_by_transit_1","local","local_questionable","state_1","state_questionable","federal","federal_questionable","total","total_questionable"
"King County, dba: King County Metro","Seattle","WA","00001","City, County or Local Government Unit or Department of Transportation","Full Reporter","2024","80389","Seattle--Tacoma, WA","3544011","2352","Funds Expended on Capital","56818221",,"0",,"95220445",,"24584289",,"41547203",,"218170158",
"King County, dba: King County Metro","Seattle","WA","00001","City, County or Local Government Unit or Department of Transportation","Full Reporter","2024","80389","Seattle--Tacoma, WA","3544011","2352","Funds Expended on Operations","372854607",,"0",,"743711135",,"95704190",,"14041944",,"1226311876",
"Spokane Transit Authority","Spokane","WA","00002","Independent Public Agency or Authority of Transit Service","Full Reporter","2024","83764","Spokane, WA","447279","316","Funds Expended on Capital","0",,"20895392",,"0",,"8887971",,"4011947",,"33795310",
"Spokane Transit Authority","Spokane","WA","00002","Independent Public Agency or Authority of Transit Service","Full Reporter","2024","83764","Spokane, WA","447279","316","Funds Expended on Operations","16313669",,"80346333",,"0",,"10262867",,"12710739",,"119633608",
"Pierce County Transportation Benefit Area Authority, dba: Pierce Transit","Lakewood","WA","00003","Independent Public Agency or Authority of Transit Service","Full Reporter","2024","80389","Seattle--Tacoma, WA","3544011","416","Funds Expended on Capital","0",,"17130486",,"4342224",,"2814223",,"11129374",,"35416307",
"Pierce County Transportation Benefit Area Authority, dba: Pierce Transit","Lakewood","WA","00003","Independent Public Agency or Authority of Transit Service","Full Reporter","2024","80389","Seattle--Tacoma, WA","3544011","416","Funds Expended on Operations","79585530",,"73997383",,"0",,"18992341",,"3014393",,"175589647",
"Confederated Tribes of the Colville Indian Reservation","Nespelem","WA","00004","Tribe","Reduced Reporter","2024","00053","Washington Non-UZA","1895776","5","Funds Expended on Capital","0",,"0",,"0",,"0",,"0",,"0",
"Confederated Tribes of the Colville Indian Reservation","Nespelem","WA","00004","Tribe","Reduced Reporter","2024","00053","Washington Non-UZA","1895776","5","Funds Expended on Operations","0",,"0",,"0",,"0",,"1112704",,"1112704",
"City of Everett, dba: Everett Transit","Everett","WA","00005","City, County or Local Government Unit or Department of Transportation","Full Reporter","2024","80389","Seattle--Tacoma, WA","3544011","50","Funds Expended on Capital","0",,"0",,"5757040",,"3296404",,"918459",,"9971903",
"City of Everett, dba: Everett Transit","Everett","WA","00005","City, County or Local Government Unit or Department of Transportation","Full Reporter","2024","80389","Seattle--Tacoma, WA","3544011","50","Funds Expended on Operations","3420166",,"0",,"18929492",,"5257324",,"136320",,"27743302",
"City of Yakima, dba: Yakima Transit","Yakima","WA","00006","City, County or Local Government Unit or Department of Transportation","Full Reporter","2024","97507","Yakima, WA","133145","43","Funds Expended on Capital","0",,"0",,"1105803",,"0",,"274838",,"1380641",
"City of Yakima, dba: Yakima Transit","Yakima","WA","00006","City, County or Local Government Unit or Department of Transportation","Full Reporter","2024","97507","Yakima, WA","133145","43","Funds Expended on Operations","793379",,"0",,"3453223",,"695414",,"5641912",,"10583928",
"Lane Transit District","Eugene","OR","00007","Independent Public Agency or Authority of Transit Service","Full Reporter","2024","28117","Eugene, OR","270179","141","Funds Expended on Capital","0",,"4846656",,"0",,"5515406",,"11613822",,"21975884",
"Lane Transit District","Eugene","OR","00007","Independent Public Agency or Authority of Transit Service","Full Reporter","2024","28117","Eugene, OR","270179","141","Funds Expended on Operations","21457575",,"45403951",,"56749",,"3166304",,"9832783",,"79917362",
"Tri-County Metropolitan Transportation District of Oregon, dba: TriMet","Portland","OR","00008","Independent Public Agency or Authority of Transit Service","Full Reporter","2024","71317","Portland, OR--WA","2104238","804","Funds Expended on Capital","0",,"109457460",,"312310",,"19017440",,"53824873",,"182612083",
"Tri-County Metropolitan Transportation District of Oregon, dba: TriMet","Portland","OR","00008","Independent Public Agency or Authority of Transit Service","Full Reporter","2024","71317","Portland, OR--WA","2104238","804","Funds Expended on Operations","110707197",,"504616154",,"5958722",,"43622116",,"147412778",,"812316967",
"Kalispel Tribe of Indians","Cusick","WA","00009","Tribe","Reduced Reporter","2024","00053","Washington Non-UZA","1895776",,"Funds Expended on Capital","0",,"0",,"0",,"0",,"0",,"0",
"Kalispel Tribe of Indians","Cusick","WA","00009","Tribe","Reduced Reporter","2024","00053","Washington Non-UZA","1895776",,"Funds Expended on Operations","0",,"0",,"0",,"0",,"242814",,"242814",
"Klamath Tribes, dba: Quail Trail","Chiloquin","OR","00010","Tribe","Reduced Reporter","2024","00041","Oregon Non-UZA","1553447","7","Funds Expended on Capital","0",,"0",,"0",,"357516",,"0",,"357516",
"Klamath Tribes, dba: Quail Trail","Chiloquin","OR","00010","Tribe","Reduced Reporter","2024","00041","Oregon Non-UZA","1553447","7","Funds Expended on Operations","0",,"0",,"0",,"291829",,"489513",,"781342",
"Municipality of Anchorage","Anchorage","AK","00012","City, County or Local Government Unit or Department of Transportation","Full Reporter","2024","02305","Anchorage, AK","249252","186","Funds Expended on Capital","0",,"0",,"1752679",,"0",,"14819660",,"16572339",
"Municipality of Anchorage","Anchorage","AK","00012","City, County or Local Government Unit or Department of Transportation","Full Reporter","2024","02305","Anchorage, AK","249252","186","Funds Expended on Operations","6948242",,"0",,"32307534",,"604884",,"4202827",,"44063487",
"Sitka Tribe of Alaska","Sitka","AK","00014","Tribe","Reduced Reporter","2024","00002","Alaska Non-UZA","359299","3","Funds Expended on Capital","0",,"0",,"0",,"0",,"106806",,"106806",
"Sitka Tribe of Alaska","Sitka","AK","00014","Tribe","Reduced Reporter","2024","00002","Alaska Non-UZA","359299","3","Funds Expended on Operations","106627",,"0",,"25000",,"0",,"1627122",,"1758749",
"Snoqualmie Indian Tribe, dba: Snoqualmie Valley Transportation","Snoqualmie","WA","00015","Tribe","Reduced Reporter","2024","00053","Washington Non-UZA","1895776","2","Funds Expended on Capital","0",,"0",,"0",,"0",,"0",,"0",
"Snoqualmie Indian Tribe, dba: Snoqualmie Valley Transportation","Snoqualmie","WA","00015","Tribe","Reduced Reporter","2024","00053","Washington Non-UZA","1895776","2","Funds Expended on Operations","84520",,"0",,"206542",,"135166",,"117817",,"544045",
"City of Longview, dba: RiverCities Transit","Longview","WA","00016","City, County or Local Government Unit or Department of Transportation","Full Reporter","2024","51283","Longview, WA--OR","69841","22","Funds Expended on Capital","0",,"106926",,"0",,"788302",,"190727",,"1085955",
"City of Longview, dba: RiverCities Transit","Longview","WA","00016","City, County or Local Government Unit or Department of Transportation","Full Reporter","2024","51283","Longview, WA--OR","69841","22","Funds Expended on Operations","582740",,"2763758",,"0",,"686784",,"2145191",,"6178473",
"Stillaguamish Tribe of Indians, dba: Stillaguamish Tribal Transportation Services","Arlington","WA","00017","Tribe","Reduced Reporter","2024","00053","Washington Non-UZA","1895776","5","Funds Expended on Capital","0",,"0",,"0",,"0",,"0",,"0",
"Stillaguamish Tribe of Indians, dba: Stillaguamish Tribal Transportation Services","Arlington","WA","00017","Tribe","Reduced Reporter","2024","00053","Washington Non-UZA","1895776","5","Funds Expended on Operations","0",,"0",,"0",,"0",,"335656",,"335656",
"Ben Franklin Transit","Richland","WA","00018","Independent Public Agency or Authority of Transit Service","Full Reporter","2024","44479","Kennewick--Richland--Pasco, WA","255401","294","Funds Expended on Capital","0",,"0",,"7430710",,"4294836",,"296990",,"12022536",
"Ben Franklin Transit","Richland","WA","00018","Independent Public Agency or Authority of Transit Service","Full Reporter","2024","44479","Kennewick--Richland--Pasco, WA","255401","294","Funds Expended on Operations","5159703",,"0",,"34255312",,"3990398",,"8065092",,"51470505",
"Intercity Transit","Olympia","WA","00019","Independent Public Agency or Authority of Transit Service","Full Reporter","2024","65242","Olympia--Lacey, WA","208157","243","Funds Expended on Capital","0",,"9403710",,"0",,"690659",,"12268466",,"22362835",
"Intercity Transit","Olympia","WA","00019","Independent Public Agency or Authority of Transit Service","Full Reporter","2024","65242","Olympia--Lacey, WA","208157","243","Funds Expended on Operations","7991372",,"56060675",,"0",,"4941468",,"890431",,"69883946",
"Kitsap County Public Transportation Benefit Area Authority, dba: Kitsap Transit","Bremerton","WA","00020","Independent Public Agency or Authority of Transit Service","Full Reporter","2024","09946","Bremerton, WA","224449","213","Funds Expended on Capital","0",,"24676177",,"0",,"5399431",,"13154751",,"43230359",
"Kitsap County Public Transportation Benefit Area Authority, dba: Kitsap Transit","Bremerton","WA","00020","Independent Public Agency or Authority of Transit Service","Full Reporter","2024","09946","Bremerton, WA","224449","213","Funds Expended on Operations","13165795",,"63905766",,"0",,"115350",,"212877",,"77399788",
"Whatcom Transportation Authority","Bellingham","WA","00021","Independent Public Agency or Authority of Transit Service","Full Reporter","2024","06652","Bellingham, WA","128979","103","Funds Expended on Capital","0",,"0",,"6141044",,"902853",,"22547310",,"29591207",
"Whatcom Transportation Authority","Bellingham","WA","00021","Independent Public Agency or Authority of Transit Service","Full Reporter","2024","06652","Bellingham, WA","128979","103","Funds Expended on Operations","4576982",,"0",,"32567694",,"9850652",,"93804",,"47089132",
"City of Pocatello, dba: Pocatello Regional Transit","Pocatello","ID","00022","City, County or Local Government Unit or Department of Transportation","Reduced Reporter","2024","70426","Pocatello, ID","72211","24","Funds Expended on Capital","64051",,"0",,"158174",,"0",,"116199",,"338424",
"City of Pocatello, dba: Pocatello Regional Transit","Pocatello","ID","00022","City, County or Local Government Unit or Department of Transportation","Reduced Reporter","2024","70426","Pocatello, ID","72211","24","Funds Expended on Operations","557371",,"0",,"568356",,"0",,"2005606",,"3131333",
