"agency","city","state","ntd_id","organization_type","reporter_type","report_year","uace_code","uza_name","primary_uza_population","agency_voms","general_fund","income_tax","sales_tax","property_tax","fuel_tax","other_taxes","tolls","other_funds","reduced_reporter_funds","total"
"King County, dba: King County Metro","Seattle","WA","00001","City, County or Local Government Unit or Department of Transportation","Full Reporter","2024","80389","Seattle--Tacoma, WA","3544011","2352","0","0","756674885","40015526","0","0","0","42241168","0","838931579"
"Spokane Transit Authority","Spokane","WA","00002","Independent Public Agency or Authority of Transit Service","Full Reporter","2024","83764","Spokane, WA","447279","316","0","0","0","0","0","0","0","0","0","0"
"Pierce County Transportation Benefit Area Authority, dba: Pierce Transit","Lakewood","WA","00003","Independent Public Agency or Authority of Transit Service","Full Reporter","2024","80389","Seattle--Tacoma, WA","3544011","416","0","0","0","0","0","0","0","4342224","0","4342224"
"Confederated Tribes of the Colville Indian Reservation","Nespelem","WA","00004","Tribe","Reduced Reporter","2024","00053","Washington Non-UZA","1895776","5","0","0","0","0","0","0","0","0","0","0"
"City of Everett, dba: Everett Transit","Everett","WA","00005","City, County or Local Government Unit or Department of Transportation","Full Reporter","2024","80389","Seattle--Tacoma, WA","3544011","50","226367","0","25404815","0","0","0","0","0","0","25631182"
"City of Yakima, dba: Yakima Transit","Yakima","WA","00006","City, County or Local Government Unit or Department of Transportation","Full Reporter","2024","97507","Yakima, WA","133145","43","0","0","8098787","0","0","0","0","0","0","8098787"
"Lane Transit District","Eugene","OR","00007","Independent Public Agency or Authority of Transit Service","Full Reporter","2024","28117","Eugene, OR","270179","141","56749","0","0","0","0","0","0","0","0","56749"
"Tri-County Metropolitan Transportation District of Oregon, dba: TriMet","Portland","OR","00008","Independent Public Agency or Authority of Transit Service","Full Reporter","2024","71317","Portland, OR--WA","2104238","804","6271032","0","0","0","0","0","0","0","0","6271032"
"Kalispel Tribe of Indians","Cusick","WA","00009","Tribe","Reduced Reporter","2024","00053","Washington Non-UZA","1895776","0","0","0","0","0","0","0","0","0","0","0"
"Klamath Tribes, dba: Quail Trail","Chiloquin","OR","00010","Tribe","Reduced Reporter","2024","00041","Oregon Non-UZA","1553447","7","0","0","0","0","0","0","0","0","0","0"
"Municipality of Anchorage","Anchorage","AK","00012","City, County or Local Government Unit or Department of Transportation","Full Reporter","2024","02305","Anchorage, AK","249252","186","32354548","0","0","1705665","0","0","0","0","0","34060213"
"Sitka Tribe of Alaska","Sitka","AK","00014","Tribe","Reduced Reporter","2024","00002","Alaska Non-UZA","359299","3","0","0","0","0","0","0","0","0","25000","25000"
"Snoqualmie Indian Tribe, dba: Snoqualmie Valley Transportation","Snoqualmie","WA","00015","Tribe","Reduced Reporter","2024","00053","Washington Non-UZA","1895776","2","0","0","0","0","0","0","0","0","206542","206542"
"City of Longview, dba: RiverCities Transit","Longview","WA","00016","City, County or Local Government Unit or Department of Transportation","Full Reporter","2024","51283","Longview, WA--OR","69841","22","0","0","0","0","0","0","0","0","0","0"
"Stillaguamish Tribe of Indians, dba: Stillaguamish Tribal Transportation Services","Arlington","WA","00017","Tribe","Reduced Reporter","2024","00053","Washington Non-UZA","1895776","5","0","0","0","0","0","0","0","0","0","0"
"Ben Franklin Transit","Richland","WA","00018","Independent Public Agency or Authority of Transit Service","Full Reporter","2024","44479","Kennewick--Richland--Pasco, WA","255401","294","0","0","53909620","0","0","0","0","0","0","53909620"
"Intercity Transit","Olympia","WA","00019","Independent Public Agency or Authority of Transit Service","Full Reporter","2024","65242","Olympia--Lacey, WA","208157","243","0","0","0","0","0","0","0","0","0","0"
"Kitsap County Public Transportation Benefit Area Authority, dba: Kitsap Transit","Bremerton","WA","00020","Independent Public Agency or Authority of Transit Service","Full Reporter","2024","09946","Bremerton, WA","224449","213","0","0","0","0","0","0","0","0","0","0"
"Whatcom Transportation Authority","Bellingham","WA","00021","Independent Public Agency or Authority of Transit Service","Full Reporter","2024","06652","Bellingham, WA","128979","103","0","0","39537869","0","0","0","0","574283","0","40112152"
"City of Pocatello, dba: Pocatello Regional Transit","Pocatello","ID","00022","City, County or Local Government Unit or Department of Transportation","Reduced Reporter","2024","70426","Pocatello, ID","72211","24","0","0","0","0","0","0","0","0","726530","726530"
"City of Seattle, dba: Seattle Center Monorail","Seattle","WA","00023","City, County or Local Government Unit or Department of Transportation","Full Reporter","2024","80389","Seattle--Tacoma, WA","3544011","8","1577","0","0","0","0","0","0","0","0","1577"
"Clark County Public Transportation Benefit Area Authority, dba: C-TRAN","Vancouver","WA","00024","Independent Public Agency or Authority of Transit Service","Full Reporter","2024","71317","Portland, OR--WA","2104238","167","0","0","0","0","0","0","0","0","0","0"
"Salem Area Mass Transit District, dba: Salem-Keizer Transit or Cherriots","Salem","OR","00025","Independent Public Agency or Authority of Transit Service","Full Reporter","2024","78229","Salem, OR","268331","139","0","0","0","0","0","0","0","0","0","0"
"Bristol Bay Native Association","Dillingham","AK","00026","Tribe","Reduced Reporter","2024","00002","Alaska Non-UZA","359299","0","0","0","0","0","0","0","0","0","0","0"
"Confederated Tribes of Siletz Indians, dba: CTSI Planning Department","Siletz","OR","00027","Tribe","Reduced Reporter","2024","00041","Oregon Non-UZA","1553447","0","0","0","0","0","0","0","0","0","338","338"
"County of Pierce, dba: Pierce County Ferry","Tacoma","WA","00028","City, County or Local Government Unit or Department of Transportation","Full Reporter","2024","80389","Seattle--Tacoma, WA","3544011","2","0","0","0","0","600000","0","0","2540591","0","3140591"
"Snohomish County Public Transportation Benefit Area Corporation, dba: Community Transit","Everett","WA","00029","Independent Public Agency or Authority of Transit Service","Full Reporter","2024","80389","Seattle--Tacoma, WA","3544011","563","0","0","2292087","0","0","0","0","116995","0","2409082"
"Chickaloon Native Village, dba: Chickaloon Area Transit System (Transit)","Palmer","AK","00030","Tribe","Reduced Reporter","2024","00002","Alaska Non-UZA","359299","3","0","0","0","0","0","0","0","0","901","901"
"Shoshone-Bannock Tribes","Fort Hall","ID","00031","Tribe","Reduced Reporter","2024","00016","Idaho Non-UZA","836252","7","0","0","0","0","0","0","0","0","0","0"
"Senior Services of Snohomish County, dba: Homage Senior Services","Lynnwood","WA","00033","Private-Non-Profit Corporation","Reduced Reporter","2024","80389","Seattle--Tacoma, WA","3544011","11","0","0","0","0","0","0","0","0","225337","225337"
"Rogue Valley Transportation District","Medford","OR","00034","Independent Public Agency or Authority of Transit Service","Full Reporter","2024","55981","Medford, OR","171640","52","0","0","0","5762468","0","0","0","0","0","5762468"
"Washington State Ferries","Olympia","WA","00035","State Government Unit or Department of Transportation","Full Reporter","2024","80389","Seattle--Tacoma, WA","3544011","15","0","0","0","0","0","0","0","0","0","0"
"Makah Tribal Council","Neah Bay","WA","00036","Tribe","Reduced Reporter","2024","00053","Washington Non-UZA","1895776","1","0","0","0","0","0","0","0","0","11218","11218"
"Central Puget Sound Regional Transit Authority, dba: Sound Transit","Seattle","WA","00040","Independent Public Agency or Authority of Transit Service","Full Reporter","2024","80389","Seattle--Tacoma, WA","3544011","429","1946418","0","442256","0","0","0","0","0","0","2388674"
"Alaska Railroad Corporation","Anchorage","AK","00041","State Government Unit or Department of Transportation","Full Reporter","2024","02305","Anchorage, AK","249252","59","0","0","0","0","0","0","0","0","0","0"
"Chelan Douglas PTBA, dba: Link Transit","Wenatchee","WA","00043","Independent Public Agency or Authority of Transit Service","Full Reporter","2024","93862","Wenatchee, WA","78142","82","0","0","0","0","0","0","0","0","0","0"
