"_5_digit_ntd_id","max_agency","max_reporter_type","max_organization_type","report_year","max_city","max_state","max_agency_voms","mode","max_mode_name","type_of_service","max_mode_voms","max_primary_uza_code","max_primary_uza_name","max_primary_uza_area_sq_miles","max_primary_uza_population","max_service_area_sq_miles","max_service_area_population","questionable_record","max_time_period","min_time_service_begins","max_time_service_ends","sum_actual_vehicles_passenger_car_miles","sum_actual_vehicles_passenger_car_revenue_miles","sum_actual_vehicles_passenger_deadhead_miles","sum_scheduled_vehicles_passenger_car_revenue_miles","sum_actual_vehicles_passenger_car_hours","sum_actual_vehicles_passenger_car_revenue_hours","sum_actual_vehicles_passenger_car_deadhead_hours","sum_charter_service_hours","sum_school_bus_hours","sum_trains_in_operation","sum_train_miles","sum_train_revenue_miles","sum_train_deadhead_miles","sum_train_hours","sum_train_revenue_hours","sum_train_deadhead_hours","sum_unlinked_passenger_trips_upt","sum_ada_upt","sum_sponsored_service_upt","sum_passenger_miles","sum_directional_route_miles","sum_days_of_service_operated","sum_days_not_operated_strikes","sum_days_not_operated_emergencies"
"00001","King County, dba: King County Metro","Full Reporter","City, County or Local Government Unit or Department of Transportation","2024","Seattle","WA","2352","DR","Demand Response","PT","366","80389","Seattle--Tacoma, WA","982.52","3544011","2134.00","2347800","","Annual Total",,,"10200083","7835166","2364917",,"882387","656203","226184","0","0",,,,,,,,"1045365","718648","0","7519226",,,,
"00001","King County, dba: King County Metro","Full Reporter","City, County or Local Government Unit or Department of Transportation","2024","Seattle","WA","2352","DR","Demand Response","TX","79","80389","Seattle--Tacoma, WA","982.52","3544011","2134.00","2347800","","Annual Total",,,,"1293595",,,,"55043",,,,,,,,,,,"111550","111550","0","1410322",,"366","0","0"
"00001","King County, dba: King County Metro","Full Reporter","City, County or Local Government Unit or Department of Transportation","2024","Seattle","WA","2352","FB","Ferryboat","DO","2","80389","Seattle--Tacoma, WA","982.52","3544011","2134.00","2347800","","Annual Total",,,"63622","63622","0","63900","6189","6189","0","0",,,,,,,,,"446838",,,"1822924","24.00",,,
"00001","King County, dba: King County Metro","Full Reporter","City, County or Local Government Unit or Department of Transportation","2024","Seattle","WA","2352","MB","Bus","DO","739","80389","Seattle--Tacoma, WA","982.52","3544011","2134.00","2347800","","Annual Total",,,"36225017","30848533","5376484","31106861","3305270","2984239","321031","2524",,,,,,,,,"72304880",,,"272281442","224.12",,,
"00001","King County, dba: King County Metro","Full Reporter","City, County or Local Government Unit or Department of Transportation","2024","Seattle","WA","2352","MB","Bus","PT","58","80389","Seattle--Tacoma, WA","982.52","3544011","2134.00","2347800","","Annual Total",,,"1493128","1163529","329599","1165118","107327","94143","13184","0","0",,,,,,,,"814412",,,"3280754",,,,
"00001","King County, dba: King County Metro","Full Reporter","City, County or Local Government Unit or Department of Transportation","2024","Seattle","WA","2352","SR","Streetcar Rail","DO","10","80389","Seattle--Tacoma, WA","982.52","3544011","2134.00","2347800","","Annual Total",,,"179869","174111","5758","187153","38131","36694","1437",,,,"179869","174111","5758","38131","36694","1437","1492360",,,"1648929","7.85","0","0","0"
"00001","King County, dba: King County Metro","Full Reporter","City, County or Local Government Unit or Department of Transportation","2024","Seattle","WA","2352","TB","Trolleybus","DO","107","80389","Seattle--Tacoma, WA","982.52","3544011","2134.00","2347800","","Annual Total",,,"2551586","2370600","180986","2273543","382595","357178","25417","49","0",,,,,,,,"11025543",,,"19966001","116.86",,,
"00001","King County, dba: King County Metro","Full Reporter","City, County or Local Government Unit or Department of Transportation","2024","Seattle","WA","2352","VP","Vanpool","DO","991","80389","Seattle--Tacoma, WA","982.52","3544011","2134.00","2347800","","Annual Total",,,"7898463","7898463","0",,"256334","256334","0","0","0",,,,,,,,"1397763",,,"30103203",,,,
"00002","Spokane Transit Authority","Full Reporter","Independent Public Agency or Authority of Transit Service","2024","Spokane","WA","316","DR","Demand Response","DO","54","83764","Spokane, WA","171.67","447279","248.00","475470","","Annual Total",,,"1370300","1252409","117891",,"86890","80605","6285",,,,,,,,,,"204442","204442",,"1703622",,,,
"00002","Spokane Transit Authority","Full Reporter","Independent Public Agency or Authority of Transit Service","2024","Spokane","WA","316","DR","Demand Response","PT","38","83764","Spokane, WA","171.67","447279","248.00","475470","","Annual Total",,,"1387450","1232917","154533",,"90190","81346","8844",,,,,,,,,,"186514","186514",,"1567640",,,,
