"agency","city","state","ntd_id","organization_type","reporter_type","report_year","uace_code","uza_name","primary_uza_population","agency_voms","general_funds","transportation_funds","reduced_reporter_funds","total","total_questionable"
"King County, dba: King County Metro","Seattle","WA","00001","City, County or Local Government Unit or Department of Transportation","Full Reporter","2024","80389","Seattle--Tacoma, WA","3544011","2352","0","120288479","0","120288479",
"Spokane Transit Authority","Spokane","WA","00002","Independent Public Agency or Authority of Transit Service","Full Reporter","2024","83764","Spokane, WA","447279","316","0","19150838","0","19150838",
"Pierce County Transportation Benefit Area Authority, dba: Pierce Transit","Lakewood","WA","00003","Independent Public Agency or Authority of Transit Service","Full Reporter","2024","80389","Seattle--Tacoma, WA","3544011","416","0","21806564","0","21806564",
"Confederated Tribes of the Colville Indian Reservation","Nespelem","WA","00004","Tribe","Reduced Reporter","2024","00053","Washington Non-UZA","1895776","5","0","0","0","0",
"City of Everett, dba: Everett Transit","Everett","WA","00005","City, County or Local Government Unit or Department of Transportation","Full Reporter","2024","80389","Seattle--Tacoma, WA","3544011","50","0","8553728","0","8553728",
"City of Yakima, dba: Yakima Transit","Yakima","WA","00006","City, County or Local Government Unit or Department of Transportation","Full Reporter","2024","97507","Yakima, WA","133145","43","0","695414","0","695414",
"Lane Transit District","Eugene","OR","00007","Independent Public Agency or Authority of Transit Service","Full Reporter","2024","28117","Eugene, OR","270179","141","476240","8205470","0","8681710",
"Tri-County Metropolitan Transportation District of Oregon, dba: TriMet","Portland","OR","00008","Independent Public Agency or Authority of Transit Service","Full Reporter","2024","71317","Portland, OR--WA","2104238","804","19017440","43622116","0","62639556",
"Kalispel Tribe of Indians","Cusick","WA","00009","Tribe","Reduced Reporter","2024","00053","Washington Non-UZA","1895776","0","0","0","0","0",
"Klamath Tribes, dba: Quail Trail","Chiloquin","OR","00010","Tribe","Reduced Reporter","2024","00041","Oregon Non-UZA","1553447","7","0","0","649345","649345",
"Municipality of Anchorage","Anchorage","AK","00012","City, County or Local Government Unit or Department of Transportation","Full Reporter","2024","02305","Anchorage, AK","249252","186","250000","354884","0","604884",
"Sitka Tribe of Alaska","Sitka","AK","00014","Tribe","Reduced Reporter","2024","00002","Alaska Non-UZA","359299","3","0","0","0","0",
"Snoqualmie Indian Tribe, dba: Snoqualmie Valley Transportation","Snoqualmie","WA","00015","Tribe","Reduced Reporter","2024","00053","Washington Non-UZA","1895776","2","0","0","135166","135166",
"City of Longview, dba: RiverCities Transit","Longview","WA","00016","City, County or Local Government Unit or Department of Transportation","Full Reporter","2024","51283","Longview, WA--OR","69841","22","0","1475086","0","1475086",
"Stillaguamish Tribe of Indians, dba: Stillaguamish Tribal Transportation Services","Arlington","WA","00017","Tribe","Reduced Reporter","2024","00053","Washington Non-UZA","1895776","5","0","0","0","0",
"Ben Franklin Transit","Richland","WA","00018","Independent Public Agency or Authority of Transit Service","Full Reporter","2024","44479","Kennewick--Richland--Pasco, WA","255401","294","0","8285234","0","8285234",
"Intercity Transit","Olympia","WA","00019","Independent Public Agency or Authority of Transit Service","Full Reporter","2024","65242","Olympia--Lacey, WA","208157","243","0","5632127","0","5632127",
"Kitsap County Public Transportation Benefit Area Authority, dba: Kitsap Transit","Bremerton","WA","00020","Independent Public Agency or Authority of Transit Service","Full Reporter","2024","09946","Bremerton, WA","224449","213","0","5514781","0","5514781",
"Whatcom Transportation Authority","Bellingham","WA","00021","Independent Public Agency or Authority of Transit Service","Full Reporter","2024","06652","Bellingham, WA","128979","103","0","10753505","0","10753505",
"City of Pocatello, dba: Pocatello Regional Transit","Pocatello","ID","00022","City, County or Local Government Unit or Department of Transportation","Reduced Reporter","2024","70426","Pocatello, ID","72211","24","0","0","0","0",
"City of Seattle, dba: Seattle Center Monorail","Seattle","WA","00023","City, County or Local Government Unit or Department of Transportation","Full Reporter","2024","80389","Seattle--Tacoma, WA","3544011","8","0","0","0","0",
"Clark County Public Transportation Benefit Area Authority, dba: C-TRAN","Vancouver","WA","00024","Independent Public Agency or Authority of Transit Service","Full Reporter","2024","71317","Portland, OR--WA","2104238","167","0","7610785","0","7610785",
